temps;MGA;MDR
temps;Commande Moteur Gauche;Commande Moteur Droit
0003.125;4344;5428
0003.135;4344;5542
0003.146;4344;5464
0003.156;4344;5507
0003.164;4344;5678
0003.176;4344;5656
0003.184;4344;5614
0003.197;4344;5628
0003.205;4344;5664
0003.215;4344;5664
0003.228;4344;5642
0003.236;4344;5621
0003.244;4344;5656
0003.256;4344;5756
0003.267;4344;5714
0003.275;4344;5685
0003.285;4344;5742
0003.295;4344;5692
0003.306;4344;5635
0003.316;4344;5642
0003.324;4344;5557
0003.336;4344;5557
0003.353;4344;5585
0003.365;4344;5607
0003.375;4344;5571
0003.386;4344;5628
0003.400;4344;5628
0003.416;4344;5571
0003.425;4344;5485
0003.435;4344;5592
0003.445;4344;5535
0003.455;4344;5649
0003.468;4344;5614
0003.480;4344;5614
0003.494;4344;5557
0003.505;4344;5557
0003.515;4344;5500
0003.525;4344;5564
0003.535;4344;5550
0003.546;4344;5550
0003.556;4344;5492
0003.574;4344;5485
0003.585;4344;5528
0003.597;4344;5528
0003.605;4344;5585
0003.615;4344;5585
0003.626;4344;5557
0003.636;4344;5557
0003.648;4344;5500
0003.654;4344;5614
0003.669;4344;5614
0003.675;4344;5557
0003.685;4344;5592
0003.695;4344;5649
0003.706;4344;5706
0003.716;4344;5664
0003.724;4344;5728
0003.736;4344;5599
0003.745;4344;5656
0003.755;4344;5685
0003.765;4344;5685
0003.775;4344;5628
0003.786;4344;5692
0003.796;4344;5649
0003.804;4344;5649
0003.816;4344;5628
0003.825;4344;5628
0003.835;4344;5656
0003.845;4344;5656
0003.855;4344;5599
0003.866;4344;5599
0003.874;4344;5599
0003.884;4344;5571
0003.895;4344;5542
0003.937;4344;5599
0003.944;4344;5656
0003.954;4344;5607
0003.964;4344;5699
0003.976;4344;5678
0003.985;4344;5735
0003.995;4344;5692
0004.005;4344;5692
0004.017;4344;5692
0004.024;4344;5635
0004.036;4344;5578
0004.044;4344;5542
0004.054;4344;5542
0004.065;4344;5471
0004.075;4344;5514
0004.085;4344;5557
0004.093;4344;5464
0004.104;4344;5464
0004.116;4344;5507
0004.124;4344;5414
0004.132;4344;5435
0004.145;4344;5607
0004.157;4344;5550
0004.171;4344;5642
0004.184;4344;5599
0004.194;4344;5749
0004.204;4344;5706
0004.216;4344;5664
0004.229;4344;5678
0004.245;4344;5564
0004.255;4344;5678
0004.264;4344;5678
0004.276;4344;5821
0004.284;4344;5656
0004.296;4344;5485
0004.309;4344;5649
0004.323;4344;5628
0004.333;4344;5628
0004.344;4344;5485
0004.356;4344;5678
0004.364;4344;5535
0004.374;4344;5535
0004.385;4344;5535
0004.395;4344;5507
0004.403;4344;5471
0004.413;4344;5578
0004.424;4344;5578
0004.436;4344;5607
0004.444;4344;5607
0004.454;4344;5607
0004.465;4344;5664
0004.473;4344;5635
0004.483;4344;5671
0004.493;4344;5671
0004.504;4344;5621
0004.514;4344;5685
0004.524;4344;5599
0004.534;4344;5542
0004.551;4344;5535
0004.563;4344;5435
0004.573;4344;5507
0004.584;4344;5443
0004.594;4344;5336
0004.604;4344;5385
0004.614;4344;5478
0004.623;4344;5500
0004.633;4344;5528
0004.643;4344;5585
0004.653;4344;5585
0004.664;4344;5500
0004.674;4344;5656
0004.691;4344;5671
0004.705;4344;5628
0004.715;4344;5664
0004.723;4344;5706
0004.734;4344;5692
0004.744;4344;5614
0004.760;4344;5592
0004.773;4344;5592
0004.783;4344;5592
0004.793;4344;5735
0004.803;4344;5599
0004.814;4344;5599
0004.826;4344;5599
0004.836;4344;5599
0004.842;4344;5656
0004.855;4344;5721
0004.865;4344;5706
0004.875;4344;5678
0004.883;4344;5621
0004.894;4344;5592
0004.904;4344;5621
0004.920;4344;5621
0004.933;4344;5564
0004.943;4344;5507
0004.967;4344;5542
0004.978;4344;5621
0004.996;4344;5507
0005.002;4344;5592
0005.013;4344;5528
0005.023;4344;5471
0005.033;4344;5578
0005.043;4344;5492
0005.056;4344;5578
0005.062;4344;5578
0005.072;4344;5521
0005.082;4344;5492
0005.093;4344;5478
0005.103;4344;5443
0005.113;4344;5635
0005.123;4344;5635
0005.134;4344;5521
0005.142;4344;5521
0005.152;4344;5635
0005.162;4344;5706
0005.173;4344;5628
0005.183;4344;5685
0005.193;4344;5550
0005.203;4344;5664
0005.213;4344;5550
0005.224;4344;5664
0005.232;4344;5585
0005.244;4344;5528
0005.253;4344;5585
0005.263;4344;5642
0005.273;4344;5585
0005.283;4344;5642
0005.291;4344;5528
0005.302;4344;5671
0005.312;4344;5614
0005.322;4344;5671
0005.333;4344;5671
0005.343;4344;5706
0005.353;4344;5628
0005.361;4344;5685
0005.372;4344;5628
0005.384;4344;5628
0005.392;4344;5542
0005.402;4344;5571
0005.413;4344;5571
0005.423;4344;5507
0005.433;4344;5535
0005.445;4344;5614
0005.452;4344;5471
0005.466;4344;5578
0005.472;4344;5578
0005.482;4344;5635
0005.493;4344;5635
0005.505;4344;5550
0005.511;4344;5550
0005.521;4344;5550
0005.532;4344;5571
0005.542;4344;5457
0005.554;4344;5535
0005.564;4344;5592
0005.573;4344;5592
0005.581;4344;5535
0005.593;4344;5592
0005.601;4344;5535
0005.612;4344;5535
0005.622;4344;5557
0005.632;4344;5528
0005.645;4344;5507
0005.653;4344;5592
0005.661;4344;5535
0005.671;4344;5592
0005.681;4344;5571
0005.692;4344;5628
0005.706;4344;5571
0005.713;4344;5628
0005.721;4344;5607
0005.731;4344;5607
0005.741;4344;5699
0005.752;4344;5678
0005.762;4344;5792
0005.774;4344;5656
0005.783;4344;5578
0005.793;4344;5699
0005.801;4344;5642
0005.811;4344;5557
0005.822;4344;5706
0005.832;4344;5564
0005.842;4344;5535
0005.850;4344;5607
0005.861;4344;5607
0005.871;4344;5578
0005.881;4344;5607
0005.891;4344;5550
0005.902;4344;5550
0005.912;4344;5607
0005.928;4344;5635
0005.941;4344;5550
0005.951;4344;5607
0005.961;4344;5607
0005.971;4344;5578
0005.982;4344;5578
0005.992;4344;5578
0006.004;4344;5642
0006.010;4344;5642
0006.021;4344;5557
0006.031;4344;5614
0006.041;4344;5557
0006.051;4344;5557
0006.066;4344;5578
0006.074;4344;5521
0006.082;4344;5492
0006.099;4344;5478
0006.111;4344;5521
0006.121;4344;5521
0006.134;4344;5485
0006.142;4344;5542
0006.152;4344;5542
