temps;MGA;MDR;GAS
temps;Commande Moteur Gauche;Commande Moteur Droit;Consigne Gaz
0000.060;04344;07333;0204
0000.159;04344;06505;0204
0000.259;04344;06634;0204
0000.358;04344;06937;0204
0000.458;04344;07111;0204
0000.560;04344;07047;0204
0000.659;04344;06494;0204
0000.759;04754;04344;0204
0000.858;05396;04344;0204
0000.958;04391;04433;0204
0001.058;04344;05036;0204
0001.158;04344;05293;0204
0001.257;04344;04818;0204
0001.357;04344;04594;0204
0001.456;04344;04815;0204
0001.658;04344;04754;0204
0001.757;04344;04640;0204
0001.857;04344;04712;0204
0001.957;04344;04790;0204
0002.056;04344;04565;0204
0002.156;04344;04858;0204
0002.255;04344;04786;0204
0002.355;04344;04626;0204
0002.556;04344;04947;0204
0002.656;04344;04769;0204
0002.755;04344;04701;0204
0002.855;04344;04822;0204
0002.955;04344;04729;0204
0003.054;04344;04818;0204
0003.154;04344;04736;0204
0003.253;04344;04690;0204
0003.455;04344;04726;0204
0003.554;04344;04733;0204
0003.654;04344;04744;0204
0003.753;04344;04765;0204
0003.853;04344;04687;0204
0003.953;04344;04801;0204
0004.052;04344;04590;0204
0004.152;04344;04729;0204
0004.353;04344;04658;0204
0004.453;04344;04701;0204
0004.552;04344;04719;0204
0004.652;04344;04769;0204
0004.752;04344;04736;0204
0004.851;04344;04722;0204
0004.951;04344;04722;0204
0005.050;04344;04790;0204
0005.252;04344;04769;0204
0005.351;04344;04697;0204
0005.451;04344;04626;0204
0005.551;04344;04918;0204
0005.650;04344;04779;0204
0005.750;04344;04687;0204
0005.849;04344;04747;0204
0005.949;04344;04904;0204
0006.150;04344;04826;0204
0006.250;04344;04826;0204
0006.349;04344;04679;0204
0006.449;04344;04747;0204
0006.549;04344;04876;0204
0006.648;04344;04679;0204
0006.748;04344;04779;0204
0006.847;04344;04726;0204
0006.947;04344;04726;0204
0007.047;04344;04747;0204
0007.149;04344;04708;0204
0007.248;04344;04815;0204
0007.348;04344;04605;0204
0007.447;04344;04722;0204
0007.547;04344;04776;0204
0007.647;04344;04715;0204
0007.746;04344;04640;0204
0007.846;04344;04783;0204
0007.945;04344;04654;0204
0008.047;04344;04797;0204
0008.147;04344;04811;0204
0008.246;04344;04601;0204
0008.346;04344;04833;0204
0008.446;04344;04761;0204
0008.545;04344;04786;0204
0008.645;04344;04747;0204
0008.744;04344;04765;0204
0008.844;04344;04751;0204
0008.944;04344;04808;0204
0009.044;04344;04744;0204
0009.245;04344;04654;0204
0009.345;04344;04687;0204
0009.444;04344;04847;0204
0009.544;04344;04804;0204
0009.643;04344;04669;0204
0009.743;04344;04747;0204
0009.843;04344;04761;0204
0009.942;04344;04733;0204
0010.144;04344;04801;0204
0010.243;04344;04722;0204
0010.343;04344;04751;0204
0010.442;04344;04694;0204
0010.542;04344;04797;0204
0010.642;04344;04708;0204
0010.843;04344;04701;0204
0010.943;04344;04694;0204
0011.043;04344;04765;0204
0011.142;04344;04694;0204
0011.242;04344;04683;0204
0011.341;04344;04754;0204
0011.441;04344;04704;0204
0011.540;04344;04733;0204
0011.742;04344;04490;0204
0011.842;04344;04836;0204
0011.941;04344;04719;0204
0012.041;04344;04576;0204
0012.140;04344;04833;0204
0012.240;04344;04833;0204
0012.339;04344;04712;0204
0012.439;04344;04754;0204
0012.640;04344;04790;0204
0012.740;04344;04854;0204
0012.840;04344;04733;0204
0012.939;04344;04715;0204
0013.039;04344;04801;0204
0013.139;04344;04708;0204
0013.238;04344;04715;0204
0013.338;04344;04804;0204
0013.437;04344;04694;0204
0013.537;04344;04683;0204
0013.639;04344;04687;0204
0013.738;04344;04658;0204
0013.838;04344;04840;0204
0013.938;04344;04840;0204
0014.037;04344;04747;0204
0014.137;04344;04815;0204
0014.236;04344;04726;0204
0014.336;04344;04712;0204
0014.435;04344;04765;0204
0014.537;04344;04747;0204
0014.637;04344;04687;0204
0014.737;04344;04779;0204
0014.836;04344;04726;0204
0014.936;04344;04808;0204
0015.035;04344;04801;0204
0015.135;04344;04769;0204
0015.234;04344;04608;0204
0015.334;04344;04861;0204
0015.436;04344;04779;0204
0015.535;04344;04687;0204
0015.635;04344;04761;0204
0015.735;04344;04758;0204
0015.834;04344;04622;0204
0015.934;04344;04729;0204
0016.033;04344;04858;0204
0016.133;04344;04622;0204
0016.232;04344;04669;0204
0016.332;04344;04822;0204
0016.432;04344;04726;0204
0016.534;04344;04637;0204
0016.633;04344;04779;0204
0016.733;04344;04758;0204
0016.833;04344;04783;0204
0016.932;04344;04783;0204
0017.032;04344;04804;0204
0017.131;04344;04804;0204
0017.231;04344;04683;0204
0017.432;04344;04683;0204
0017.532;04344;04712;0204
0017.631;04344;04822;0204
0017.731;04344;04726;0204
0017.831;04344;04783;0204
0017.930;04344;04776;0204
0018.030;04344;04779;0204
0018.132;04344;04662;0204
0018.232;04344;04840;0204
0018.332;04344;04679;0204
0018.431;04344;04744;0204
0018.531;04344;04833;0204
0018.630;04344;04665;0204
0018.730;04344;04697;0204
0018.829;04344;04833;0204
0018.929;04344;04751;0204
0019.131;04344;04740;0204
0019.230;04344;04779;0204
0019.330;04344;04629;0204
0019.429;04344;04769;0204
0019.529;04344;04683;0204
0019.628;04344;04783;0204
0019.728;04344;04669;0204
0019.827;04344;04747;0204
0020.029;04344;04726;0204
0020.129;04344;04833;0204
0020.228;04344;04676;0204
0020.328;04344;04922;0204
0020.427;04344;04786;0204
0020.527;04344;04769;0204
0020.629;04344;04690;0204
0020.728;04344;04790;0204
0020.828;04344;04690;0204
0020.928;04344;04876;0204
0021.129;04344;04804;0204
0021.229;04344;04726;0204
0021.329;04344;04751;0204
0021.428;04344;04786;0204
0021.528;04344;04712;0204
0021.628;04344;04683;0204
0021.728;04344;04804;0204
0021.827;04344;04726;0204
0021.927;04344;04712;0204
0022.026;04344;04801;0204
