temps;MGA;MDR;GAS
temps;Commande Moteur Gauche;Commande Moteur Droit;Consigne Gaz
0000.015;03685;03685;0000
0000.120;04344;06505;0204
0000.219;04344;06609;0204
0000.319;04344;06979;0204
0000.418;04344;07161;0204
0000.518;04344;07204;0204
0000.620;04344;06937;0204
0000.720;04651;04344;0204
0000.819;05325;04344;0204
0000.919;04490;04344;0204
0001.019;04344;05075;0204
0001.220;04344;04861;0204
0001.320;04344;04822;0204
0001.419;04344;04872;0204
0001.519;04344;04797;0204
0001.618;04344;04858;0204
0001.718;04344;04986;0204
0001.818;04344;04851;0204
0001.917;04344;04811;0204
0002.017;04344;04744;0204
0002.119;04344;04986;0204
0002.218;04344;04804;0204
0002.318;04344;04811;0204
0002.417;04344;04790;0204
0002.517;04344;04843;0204
0002.617;04344;04893;0204
0002.716;04344;04797;0204
0002.816;04344;04918;0204
0002.915;04344;04776;0204
0003.017;04344;04797;0204
0003.117;04344;04915;0204
0003.216;04344;04826;0204
0003.316;04344;04840;0204
0003.415;04344;04786;0204
0003.515;04344;04879;0204
0003.615;04344;04758;0204
0003.714;04344;04865;0204
0003.814;04344;04826;0204
0003.916;04344;04786;0204
0004.015;04344;04922;0204
0004.115;04344;04847;0204
0004.214;04344;04786;0204
0004.314;04344;04868;0204
0004.413;04344;04811;0204
0004.516;04344;04861;0204
0004.618;04344;04790;0204
0004.717;04344;04811;0204
0004.817;04344;04790;0204
0004.916;04344;04808;0204
0005.016;04344;04815;0204
0005.115;04344;04804;0204
0005.215;04344;04883;0204
0005.314;04344;04701;0204
0005.414;04344;04936;0204
0005.516;04344;04818;0204
0005.616;04344;04747;0204
0005.715;04344;04918;0204
0005.815;04344;04761;0204
0005.914;04344;04854;0204
0006.014;04344;04801;0204
0006.113;04344;04943;0204
0006.213;04344;04811;0204
0006.313;04344;04758;0204
0006.415;04344;04822;0204
0006.614;04344;04715;0204
0006.714;04344;04754;0204
0006.813;04344;04861;0204
0006.913;04344;04808;0204
0007.012;04344;04833;0204
0007.112;04344;04786;0204
0007.211;04344;04879;0204
0007.311;04344;04826;0204
0007.513;04344;04904;0204
0007.612;04344;04811;0204
0007.714;04344;04990;0204
0007.814;04344;04826;0204
0007.913;04344;04690;0204
0008.013;04344;04861;0204
0008.112;04344;04851;0204
0008.212;04344;04829;0204
0008.312;04344;04829;0204
0008.411;04344;04868;0204
0008.613;04344;04797;0204
0008.712;04344;04943;0204
0008.812;04344;04915;0204
0008.911;04344;04868;0204
0009.011;04344;04833;0204
0009.110;04344;04854;0204
0009.210;04344;04886;0204
0009.310;04344;04811;0204
0009.511;04344;04726;0204
0009.611;04344;04979;0204
0009.710;04344;04744;0204
