temps;MGA;MDR
temps;Commande Moteur Gauche;Commande Moteur Droit
0000.001;3685;3685
0000.017;3685;3685
0000.056;3685;3685
0000.064;4344;7333
0000.072;4344;7333
0000.082;4344;7333
0000.092;4344;7333
0000.109;4344;7333
0000.121;4344;7333
0000.131;4344;7333
0000.142;4344;7333
0000.154;4344;7333
0000.164;4344;7333
0000.172;4344;7333
0000.183;4344;7333
0000.191;4344;7333
0000.201;4344;7333
0000.211;4344;7333
0000.222;4344;7333
0000.232;4344;7333
0000.244;4344;7333
0000.252;4344;7333
0000.269;4344;7333
0000.281;4344;7333
0000.291;4344;7333
0000.302;4344;7333
0000.312;4344;7333
0000.322;4344;7333
0000.330;4344;7333
0000.341;4344;7333
0000.351;4344;7333
0000.361;4344;7333
0000.378;4344;7333
0000.392;4344;7333
0000.402;4344;7333
0000.410;4344;7333
0000.421;4344;7333
0000.431;4344;7333
0000.441;4344;7333
0000.451;4344;7333
0000.462;4344;7333
0000.470;4344;7333
0000.488;4344;7333
0000.501;4344;7333
0000.511;4344;7333
0000.527;4344;7333
0000.546;4344;7333
0000.572;4344;7333
0000.583;4344;7333
0000.595;4344;7333
0000.609;4344;7333
0000.622;4344;7333
0000.638;4344;7333
0000.650;4344;7333
0000.661;4344;7333
0000.673;4344;7333
0000.681;4344;7333
0000.691;4344;7333
0000.702;4344;7333
0000.710;4344;7333
0000.720;4344;7333
0000.732;4344;7333
0000.741;4344;7333
0000.751;4344;7333
0000.761;4344;7333
0000.769;4344;7333
0000.782;4344;7333
0000.790;4344;7333
0000.800;4344;7333
0000.810;4344;7333
0000.821;4344;7333
0000.835;4344;7333
0000.841;4344;7333
0000.851;4344;7333
0000.862;4344;7333
0000.870;4344;7333
0000.880;4344;7333
0000.892;4344;7333
0000.901;4344;7333
0000.911;4344;7333
0000.924;4344;7333
0000.930;4344;7333
0000.940;4344;7333
0000.950;4344;7333
0000.962;4344;7333
0000.970;4344;7333
0000.981;4344;7333
0000.993;4344;7333
0001.004;4344;7333
0001.010;4344;7333
0001.020;4344;7333
0001.030;4344;7333
0001.040;4344;7333
0001.050;4344;7333
0001.063;4344;7333
0001.077;4344;7333
0001.092;4344;7190
0001.102;4344;6812
0001.110;4344;6405
0001.123;4344;6141
0001.131;4344;5724
0001.141;4344;5453
0001.149;4344;5168
0001.160;4344;5025
0001.170;4344;4879
0001.182;4344;4751
0001.190;4344;4808
0001.201;4344;4744
0001.209;4344;4765
0001.221;4344;4708
0001.229;4344;4658
0001.242;4344;4854
0001.250;4344;4897
0001.260;4344;5011
0001.272;4344;5047
0001.281;4344;5093
0001.289;4344;5107
0001.307;4344;5154
0001.320;4344;5129
0001.330;4344;5097
0001.340;4344;5032
0001.350;4344;5057
0001.361;4344;4868
0001.369;4344;5029
0001.379;4344;4947
0001.390;4344;5072
0001.402;4344;4968
0001.410;4344;4997
0001.420;4344;4833
0001.430;4344;4922
0001.439;4344;4790
0001.449;4344;4886
0001.461;4344;4876
0001.470;4344;4790
0001.482;4344;4883
0001.490;4344;4911
0001.500;4344;4904
0001.515;4344;4904
0001.533;4344;5075
0001.539;4344;5143
0001.550;4344;5189
0001.560;4344;5189
0001.570;4344;5221
0001.587;4344;5268
0001.599;4344;5375
0001.609;4344;5500
0001.619;4344;5703
0001.630;4344;5639
0001.640;4344;5681
0001.650;4344;5642
0001.658;4344;5585
0001.671;4344;5589
0001.679;4344;5460
0001.689;4344;5407
0001.699;4344;5389
0001.710;4344;5375
0001.720;4344;5264
0001.730;4344;5271
0001.738;4344;5193
0001.749;4344;5300
0001.759;4344;5261
0001.769;4344;5318
0001.779;4344;5246
0001.790;4344;5246
0001.800;4344;5303
0001.810;4344;5232
0001.818;4344;5264
0001.829;4344;5278
0001.839;4344;5278
0001.849;4344;5221
0001.861;4344;5336
0001.870;4344;5393
0001.882;4344;5257
0001.888;4344;5286
0001.898;4344;5229
0001.911;4344;5232
0001.919;4344;5346
0001.927;4344;5375
0001.939;4344;5289
0001.950;4344;5289
0001.966;4344;5350
0001.978;4344;5293
0001.991;4344;5464
0001.999;4344;5385
0002.011;4344;5385
0002.042;4344;5460
0002.048;4344;5439
0002.058;4344;5421
0002.069;4344;5400
0002.079;4344;5435
0002.089;4344;5382
0002.099;4344;5382
0002.108;4344;5325
0002.118;4344;5289
0002.130;4344;5321
0002.140;4344;5229
0002.149;4344;5307
0002.159;4344;5271
0002.169;4344;5389
0002.186;4344;5446
0002.198;4344;5361
0002.210;4344;5371
0002.218;4344;5343
0002.229;4344;5428
0002.239;4344;5343
0002.249;4344;5432
0002.257;4344;5432
0002.270;4344;5375
0002.278;4344;5375
0002.288;4344;5378
0002.298;4344;5378
0002.309;4344;5378
0002.319;4344;5286
0002.335;4344;5289
0002.348;4344;5311
0002.358;4344;5268
0002.368;4344;5268
0002.378;4344;5196
0002.389;4344;5332
0002.399;4344;5275
0002.407;4344;5332
0002.417;4344;5389
0002.428;4344;5332
0002.438;4344;5303
0002.448;4344;5393
0002.458;4344;5393
0002.469;4344;5428
0002.479;4344;5428
0002.487;4344;5464
0002.508;4344;5403
0002.518;4344;5403
0002.528;4344;5496
0002.538;4344;5332
0002.549;4344;5307
0002.565;4344;5407
0002.577;4344;5293
0002.588;4344;5371
0002.598;4344;5371
0002.608;4344;5318
0002.618;4344;5318
0002.629;4344;5175
0002.637;4344;5396
0002.647;4344;5396
0002.657;4344;5396
0002.668;4344;5339
0002.678;4344;5254
0002.688;4344;5336
0002.698;4344;5278
