temps;MGA;MDR
temps;Commande Moteur Gauche;Commande Moteur Droit
0000.000;3685;3685
0000.019;3685;3685
0000.041;3685;3685
0000.051;3685;3685
0000.062;3685;3685
0000.072;4344;7333
0000.084;4344;7333
0000.090;4344;7333
0000.105;4344;7333
0000.111;4344;7233
0000.119;4344;7065
0000.129;4344;6940
0000.139;4344;6930
0000.150;4344;6894
0000.160;4344;6897
0000.170;4344;6901
0000.179;4344;6976
0000.189;4344;7065
0000.199;4344;6933
0000.210;4344;6962
0000.220;4344;7044
0000.230;4344;7069
0000.240;4344;7037
0000.248;4344;7061
0000.263;4344;7094
0000.269;4344;7140
0000.279;4344;7176
0000.290;4344;7172
0000.300;4344;7197
0000.310;4344;7165
0000.326;4344;7293
0000.339;4344;7325
0000.349;4344;7322
0000.359;4344;7333
0000.372;4344;7333
0000.380;4344;7333
0000.390;4344;7333
0000.398;4344;7333
0000.409;4344;7333
0000.419;4344;7333
0000.437;4344;7333
0000.450;4344;7333
0000.460;4344;7333
0000.472;4344;7333
0000.480;4344;7333
0000.489;4344;7333
0000.499;4344;7333
0000.509;4344;7333
0000.519;4344;7333
0000.530;4344;7333
0000.548;4344;7333
0000.558;4344;7333
0000.569;4344;7333
0000.581;4344;7333
0000.591;4344;7333
0000.599;4344;7333
0000.610;4344;7333
0000.618;4344;7333
0000.628;4344;7333
0000.638;4344;7333
0000.649;4344;7333
0000.661;4344;7333
0000.669;4344;7290
0000.680;4344;7333
0000.688;4344;7297
0000.698;4344;7211
0000.708;4344;6855
0000.719;4344;6769
0000.729;4344;6552
0000.739;4344;6345
0000.749;4344;5860
0000.766;4344;5232
0000.778;4344;4843
0000.788;4401;4423
0000.799;4501;4344
0000.809;4622;4344
0000.819;4683;4344
0000.829;4758;4344
0000.842;4405;4419
0000.848;4808;4344
0000.858;4904;4344
0000.873;4922;4344
0000.879;4915;4344
0000.889;4818;4344
0000.899;4936;4344
0000.909;4929;4344
0000.918;4801;4344
0000.928;4915;4344
0000.946;4804;4344
0000.959;4765;4344
0000.971;4644;4344
