temps;MGA;MDR;GAS
temps;Commande Moteur Gauche;Commande Moteur Droit;Consigne Gaz
0000.165;04344;06120;0204
0000.264;04344;06216;0204
0000.364;04344;06477;0204
0000.463;04344;06651;0204
0000.563;04344;06773;0204
0000.663;04344;05553;0204
0000.762;05435;04344;0204
0000.862;05949;04344;0204
0000.961;04344;04836;0204
0001.063;04344;05435;0204
0001.163;04344;04754;0204
0001.263;04391;04433;0204
0001.362;04383;04440;0204
0001.462;04344;04647;0204
0001.561;04344;04637;0204
0001.661;04344;04562;0204
0001.761;04344;04551;0204
0001.860;04344;04597;0204
0001.960;04351;04473;0204
0002.062;04344;04558;0204
0002.161;04344;04565;0204
0002.261;04344;04587;0204
0002.360;04344;04533;0204
0002.460;04344;04540;0204
0002.560;04344;04679;0204
0002.659;04344;04640;0204
0002.761;04344;04651;0204
0002.861;04344;04498;0204
0002.960;04344;04526;0204
0003.060;04344;04669;0204
0003.159;04344;04540;0204
0003.259;04344;04530;0204
0003.358;04344;04633;0204
0003.560;04344;04533;0204
0003.660;04344;04576;0204
0003.759;04344;04569;0204
0003.859;04344;04644;0204
0003.958;04344;04597;0204
0004.058;04344;04605;0204
0004.157;04344;04572;0204
0004.257;04344;04605;0204
0004.359;04344;04619;0204
0004.459;04344;04498;0204
0004.558;04344;04565;0204
0004.658;04344;04633;0204
0004.757;04344;04519;0204
0004.857;04344;04612;0204
0004.956;04344;04651;0204
0005.056;04344;04565;0204
0005.155;04344;04590;0204
0005.357;04355;04469;0204
0005.457;04344;04523;0204
0005.556;04344;04622;0204
0005.656;04344;04626;0204
0005.755;04344;04590;0204
0005.855;04344;04612;0204
0005.954;04344;04505;0204
0006.054;04344;04658;0204
0006.256;04344;04505;0204
0006.355;04344;04654;0204
0006.455;04344;04587;0204
0006.555;04344;04565;0204
0006.654;04344;04679;0204
0006.754;04344;04590;0204
0006.853;04344;04530;0204
0006.953;04344;04544;0204
0007.052;04344;04629;0204
0007.152;04344;04637;0204
0007.254;04344;04605;0204
0007.354;04344;04615;0204
0007.453;04344;04633;0204
0007.553;04344;04583;0204
0007.652;04344;04605;0204
0007.752;04344;04619;0204
0007.851;04344;04654;0204
0007.951;04344;04565;0204
