temps;MGA;MDR;GAS
temps;Commande Moteur Gauche;Commande Moteur Droit;Consigne Gaz
0000.015;03685;03685;0000
0000.115;04344;05967;0204
0000.214;04344;06042;0204
0000.314;04344;06223;0204
0000.413;04344;06384;0204
0000.513;04344;06498;0204
0000.613;04344;05457;0204
0000.712;05489;04344;0204
0000.814;05749;04344;0204
0000.914;04344;04786;0204
0001.014;04344;05403;0204
0001.113;04344;04708;0204
0001.213;04519;04344;0204
0001.312;04433;04391;0204
0001.412;04344;04526;0204
0001.514;04344;04679;0204
0001.613;04344;04512;0204
0001.713;04426;04398;0204
0001.813;04387;04437;0204
0001.912;04344;04583;0204
0002.012;04344;04540;0204
0002.111;04344;04537;0204
0002.211;04344;04547;0204
0002.310;04394;04430;0204
0002.412;04344;04640;0204
0002.512;04344;04594;0204
0002.612;04344;04537;0204
0002.711;04405;04419;0204
0002.811;04351;04473;0204
0002.910;04366;04458;0204
0003.010;04344;04533;0204
0003.109;04344;04658;0204
0003.209;04344;04562;0204
0003.311;04344;04547;0204
0003.410;04344;04608;0204
0003.510;04344;04555;0204
0003.610;04344;04569;0204
0003.709;04344;04540;0204
0003.809;04344;04565;0204
0003.908;04344;04523;0204
0004.008;04344;04508;0204
0004.209;04344;04562;0204
0004.309;04344;04547;0204
0004.409;04344;04480;0204
0004.508;04344;04601;0204
0004.608;04344;04540;0204
0004.707;04344;04526;0204
0004.807;04366;04458;0204
0004.906;04383;04440;0204
0005.108;04344;04626;0204
0005.208;04344;04505;0204
0005.307;04344;04490;0204
0005.407;04344;04654;0204
0005.506;04344;04508;0204
0005.606;04344;04483;0204
0005.705;04344;04540;0204
0005.805;04369;04455;0204
0005.904;04344;04483;0204
0006.006;04344;04547;0204
0006.106;04344;04562;0204
0006.206;04480;04344;0204
0006.305;04344;04501;0204
0006.405;04344;04558;0204
0006.505;04344;04530;0204
0006.607;04344;04523;0204
0006.706;04344;04508;0204
0006.806;04344;04587;0204
0006.905;04380;04444;0204
0007.005;04351;04473;0204
0007.104;04344;04530;0204
0007.206;04344;04508;0204
0007.306;04380;04444;0204
0007.406;04344;04480;0204
0007.505;04380;04444;0204
0007.605;04344;04508;0204
0007.705;04344;04530;0204
0007.804;04344;04530;0204
0007.904;04344;04565;0204
0008.003;04344;04505;0204
0008.103;04344;04526;0204
0008.205;04344;04526;0204
0008.304;04344;04540;0204
0008.404;04344;04526;0204
0008.504;04440;04383;0204
0008.603;04344;04562;0204
0008.703;04344;04669;0204
0008.802;04344;04537;0204
0008.902;04344;04601;0204
0009.001;04344;04480;0204
0009.103;04344;04544;0204
0009.203;04344;04615;0204
0009.302;04344;04540;0204
0009.402;04344;04494;0204
