temps;MGA;MDR;GAS
0009.502;04344;04565;0204
0009.601;04344;04523;0204
0009.701;04416;04408;0204
0009.800;04344;04544;0204
0009.900;04344;04580;0204
0010.002;04344;04501;0204
0010.101;04344;04537;0204
0010.201;04344;04498;0204
0010.301;04344;04569;0204
0010.400;04344;04498;0204
0010.500;04344;04533;0204
0010.600;04344;04544;0204
0010.700;04376;04448;0204
0010.799;04344;04633;0204
0010.899;04369;04455;0204
0010.998;04344;04519;0204
0011.098;04344;04533;0204
0011.200;04383;04440;0204
0011.302;04344;04490;0204
0011.401;04344;04547;0204
0011.504;04344;04605;0204
0011.603;04344;04526;0204
0011.705;04344;04501;0204
0011.805;04344;04537;0204
0011.905;04423;04401;0204
0012.106;04344;04537;0204
0012.206;04344;04523;0204
0012.305;04408;04416;0204
0012.405;04344;04523;0204
0012.504;04344;04572;0204
0012.604;04344;04505;0204
0012.703;04394;04430;0204
0012.803;04344;04544;0204
0012.905;04344;04580;0204
0013.161;04344;04626;0204
0013.261;04344;04498;0204
0013.361;04344;04594;0204
0013.461;04344;04551;0204
0013.560;04344;04572;0204
0013.660;04344;04622;0204
0013.759;04344;04580;0204
0013.859;04344;04544;0204
0013.959;04351;04473;0204
0014.058;04344;04626;0204
0014.158;04383;04440;0204
0014.260;04344;04480;0204
0014.359;04344;04558;0204
0014.459;04344;04501;0204
0014.558;04344;04523;0204
0014.658;04344;04612;0204
0014.758;04344;04572;0204
0014.857;04344;04526;0204
0014.957;04344;04515;0204
0015.057;04344;04512;0204
0015.216;04344;04519;0204
0015.316;04426;04398;0204
0015.415;04344;04576;0204
0015.515;04344;04483;0204
0015.614;04344;04515;0204
0015.714;04344;04565;0204
0015.816;04344;04533;0204
0015.916;04344;04555;0204
0016.015;04344;04498;0204
0016.115;04344;04533;0204
0016.214;04366;04458;0204
0016.314;04344;04530;0204
0016.413;04351;04473;0204
0016.513;04344;04565;0204
0016.613;04369;04455;0204
0016.715;04344;04597;0204
0016.814;04344;04583;0204
0016.914;04362;04462;0204
0017.013;04369;04455;0204
0017.113;04344;04515;0204
0017.237;04391;04433;0204
0017.337;04344;04540;0204
0017.436;04344;04519;0204
0017.536;04344;04612;0204
0017.638;04383;04440;0204
0017.738;04344;04540;0204
0017.837;04344;04597;0204
0017.937;04344;04523;0204
0018.036;04344;04519;0204
0018.136;04344;04975;0204
0018.235;04344;04562;0204
0018.335;04376;04448;0204
0018.435;04344;04530;0204
0018.535;04344;04622;0204
0018.634;04344;04490;0204
0018.736;04344;04530;0204
0018.836;04344;04569;0204
0018.935;04344;04569;0204
0019.035;04344;04519;0204
0019.135;04344;04526;0204
0019.234;04344;04533;0204
0019.334;04344;04483;0204
0019.433;04344;04633;0204
0019.533;04344;04487;0204
0019.635;04362;04462;0204
0019.734;04344;04658;0204
0019.834;04344;04540;0204
0019.933;04344;04526;0204
0020.033;04344;04562;0204
0020.133;04344;04540;0204
0020.232;04344;04483;0204
0020.334;04344;04605;0204
0020.434;04344;04523;0204
0020.533;04344;04547;0204
0020.633;04344;04530;0204
0020.732;04344;04512;0204
0020.832;04344;04555;0204
0020.932;04344;04594;0204
0021.031;04344;04587;0204
0021.133;04383;04440;0204
0021.233;04348;04476;0204
0021.332;04405;04419;0204
0021.432;04362;04462;0204
0021.531;04344;04562;0204
0021.631;04344;04676;0204
0021.730;04344;04483;0204
0021.830;04344;04505;0204
0021.930;04344;04505;0204
0022.032;04344;04505;0204
