temps;MGA;MDR
temps;Commande Moteur Gauche;Commande Moteur Droit
0063.524;3685;3685
0000.013;3685;3685
0000.042;3685;3685
0000.060;4344;7333
0000.070;4344;7333
0000.083;4344;7333
0000.091;4344;7333
0000.103;4344;7315
0000.111;4344;7240
0000.122;4344;7061
0000.132;4344;7126
0000.148;4344;7047
0000.160;4344;7083
0000.171;4344;7111
0000.181;4344;7136
0000.191;4344;7108
0000.202;4344;7133
0000.212;4344;7229
0000.220;4344;7190
0000.230;4344;7272
0000.241;4344;7333
0000.251;4344;7315
0000.261;4344;7283
0000.271;4344;7333
0000.282;4344;7315
0000.290;4344;7333
0000.300;4344;7333
0000.310;4344;7333
0000.321;4344;7333
0000.331;4344;7333
0000.341;4344;7333
0000.351;4344;7333
0000.368;4344;7333
0000.380;4344;7333
0000.390;4344;7333
0000.407;4344;7333
0000.419;4344;7333
0000.431;4344;7333
0000.440;4344;7333
0000.450;4344;7333
0000.460;4344;7333
0000.470;4344;7333
0000.481;4344;7333
0000.491;4344;7333
0000.501;4344;7333
0000.510;4344;7333
0000.520;4344;7333
0000.530;4344;7333
0000.540;4344;7333
0000.551;4344;7333
0000.561;4344;7333
0000.570;4344;7333
0000.580;4344;7333
0000.590;4344;7333
0000.598;4344;7333
0000.611;4344;7333
0000.621;4344;7333
0000.631;4344;7333
0000.639;4344;7333
0000.650;4344;7333
0000.662;4344;7333
0000.670;4344;7333
0000.680;4344;7333
0000.691;4344;7333
0000.701;4344;7333
0000.709;4344;7333
0000.719;4344;7333
0000.730;4344;7333
0000.740;4344;7333
0000.750;4344;7333
0000.760;4344;7333
0000.771;4344;7333
0000.781;4344;7333
0000.789;4344;7333
0000.799;4344;7333
0000.810;4344;7333
0000.820;4344;7333
0000.830;4344;7333
0000.838;4344;7333
0000.851;4344;7333
0000.859;4344;7333
0000.869;4344;7333
0000.879;4344;7333
0000.892;4344;7333
0000.898;4344;7333
0000.910;4344;7333
0000.922;4344;7333
0000.929;4344;7333
0000.941;4344;7333
0000.949;4344;7333
0000.959;4344;7333
0000.970;4344;7333
0000.978;4344;7333
0000.994;4344;7333
0001.009;4344;7333
0001.021;4344;7333
0001.029;4344;7333
0001.039;4344;7333
0001.050;4344;7333
0001.064;4344;7333
0001.086;4344;7333
0001.099;4344;7333
0001.109;4344;7333
0001.119;4344;7333
0001.128;4344;7333
0001.140;4344;7333
0001.148;4344;7311
0001.158;4344;7047
0001.169;4344;6698
0001.179;4344;6434
0001.189;4344;6081
0001.199;4344;5817
0001.210;4344;5425
0001.220;4344;5089
0001.228;4344;4958
0001.238;4344;4758
0001.251;4344;4558
0001.259;4344;4523
0001.269;4344;4537
0001.279;4398;4426
0001.290;4344;4498
0001.306;4344;4483
0001.320;4344;4487
0001.329;4358;4465
0001.341;4344;4512
0001.349;4344;4555
0001.359;4344;4583
0001.370;4344;4555
0001.380;4344;4626
0001.388;4344;4637
0001.398;4344;4644
0001.409;4344;4619
0001.419;4344;4662
0001.429;4344;4704
0001.439;4344;4669
0001.450;4344;4719
0001.458;4344;4712
0001.468;4344;4790
0001.478;4344;4740
0001.489;4344;4712
0001.499;4344;4712
0001.509;4344;4740
0001.517;4344;4740
0001.528;4344;4854
0001.538;4344;4929
0001.550;4344;4893
0001.558;4344;4990
0001.571;4344;4883
0001.579;4344;5107
0001.591;4344;5075
0001.599;4344;5264
0001.608;4344;5218
0001.618;4344;5261
0001.628;4344;5414
0001.638;4344;5314
0001.649;4344;5314
0001.659;4344;5464
0001.671;4344;5550
0001.679;4344;5400
0001.688;4344;5432
0001.698;4344;5403
0001.710;4344;5378
0001.718;4344;5300
0001.729;4344;5414
0001.739;4344;5218
0001.756;4344;5118
0001.768;4344;5189
0001.778;4344;4979
0001.788;4344;5164
0001.798;4344;5007
0001.809;4344;4929
0001.819;4344;5093
0001.829;4344;5068
0001.840;4344;5097
0001.850;4344;5111
0001.858;4344;5111
0001.873;4344;5047
0001.895;4344;5043
0001.910;4344;5122
0001.918;4344;5122
0001.926;4344;5007
0001.934;4344;5122
0001.942;4344;5122
0001.948;4344;5122
0001.957;4344;5118
0001.963;4344;5089
0001.971;4344;5118
0001.977;4344;5097
0001.985;4344;5189
0001.992;4344;5189
0002.000;4344;5161
0002.008;4344;5261
0002.014;4344;5161
0002.020;4344;5332
0002.026;4344;5339
0002.033;4344;5204
0002.039;4344;5261
0002.045;4344;5378
0002.051;4344;5193
0002.057;4344;5371
0002.063;4344;5350
0002.069;4344;5357
0002.076;4344;5307
0002.082;4344;5286
0002.090;4344;5289
0002.096;4344;5318
0002.102;4344;5311
0002.108;4344;5339
0002.115;4344;5318
0002.121;4344;5175
0002.127;4344;5200
0002.133;4344;5143
0002.141;4344;5050
0002.149;4344;5129
0002.156;4344;5093
0002.162;4344;5114
0002.168;4344;5022
0002.176;4344;5100
0002.186;4344;5172
0002.193;4344;5029
0002.199;4344;5072
0002.205;4344;5129
0002.211;4344;5068
0002.217;4344;5068
0002.223;4344;5068
0002.232;4344;5068
0002.238;4344;5097
0002.244;4344;5175
0002.250;4344;5061
0002.256;4344;5089
0002.262;4344;5089
0002.271;4344;5204
0002.277;4344;5089
0002.283;4344;5061
0002.289;4344;5061
0002.295;4344;5239
0002.303;4344;5296
0002.314;4344;5218
0002.322;4344;5311
0002.328;4344;5232
0002.334;4344;5268
0002.342;4344;5154
0002.349;4344;5154
0002.355;4344;5275
0002.365;4344;5225
0002.371;4344;5168
0002.377;4344;5254
0002.385;4344;5139
0002.392;4344;5139
0002.400;4344;5196
0002.406;4344;5196
0002.412;4344;5229
0002.418;4344;5229
0002.429;4344;5172
0002.439;4344;5250
0002.445;4344;5186
0002.451;4344;5072
0002.457;4344;5207
0002.463;4344;5150
0002.472;4344;5150
0002.478;4344;5207
0002.486;4344;5207
0002.492;4344;5293
0002.498;4344;5243
0002.504;4344;5186
0002.511;4344;5129
0002.517;4344;5221
0002.523;4344;5221
0002.529;4344;5221
0002.535;4344;5193
0002.541;4344;5250
0002.547;4344;5136
0002.554;4344;5136
0002.560;4344;5307
0002.566;4344;5229
0002.572;4344;5114
0002.578;4344;5172
0002.587;4344;5175
0002.595;4344;5175
0002.601;4344;5032
0002.607;4344;5139
0002.618;4344;5139
0002.634;4344;5075
0002.648;4344;5182
0002.656;4344;5125
0002.665;4344;5125
0002.679;4344;5182
0002.687;4344;5182
0002.712;4344;5125
0002.726;4344;5097
0002.736;4344;5061
0002.745;4344;5111
0002.755;4344;5189
0002.765;4344;5161
0002.776;4344;5161
0002.786;4344;5168
0002.796;4344;5196
0002.806;4344;5147
0002.815;4344;5089
0002.825;4344;5232
0002.835;4344;5232
0002.847;4344;5232
0002.856;4344;5147
0002.866;4344;5089
0002.876;4344;5232
0002.892;4344;5196
0002.907;4344;5072
0002.915;4344;5007
0002.927;4344;5136
0002.938;4344;5193
0002.946;4344;5136
0002.956;4344;5229
0002.964;4344;5172
